Match_ID,Match_Time,Match_Year,Match_Month,Match_Day,MainPlayer_Name,MainPlayer_ID,MainPlayer_Team,MainPlayer_PositionNumber,MainPlayer_Position,MainPlayer_Civ,MainPlayer_isWon,Map,Number_of_Players,isWololoMatch,isTeamGame
273614315,"Nov. 22, 2023, 7:40 p.m.",2023,11,22,MKD,12397390,1,3,Pocket,Franks,1,Arabia,8,True,TeamGame-WOLOLO
273609790,"Nov. 22, 2023, 7:27 p.m.",2023,11,22,MKD,12397390,1,3,Pocket,Franks,0,Arabia,8,True,TeamGame-WOLOLO
266398447,"Oct. 19, 2023, 9:03 p.m.",2023,10,19,MKD,12397390,1,7,Pocket,Cumans,1,Arabia,8,True,TeamGame-WOLOLO
266390610,"Oct. 19, 2023, 8:20 p.m.",2023,10,19,MKD,12397390,1,6,Pocket,Sicilians,0,Arabia,8,True,TeamGame-WOLOLO
266383140,"Oct. 19, 2023, 7:37 p.m.",2023,10,19,MKD,12397390,1,6,Pocket,Bulgarians,0,Arabia,8,True,TeamGame-WOLOLO
264991323,"Oct. 12, 2023, 8:17 p.m.",2023,10,12,MKD,12397390,1,4,Flank,Japanese,0,Arabia,8,True,TeamGame-WOLOLO
264981790,"Oct. 12, 2023, 7:35 p.m.",2023,10,12,MKD,12397390,1,2,Unknown,Magyars,0,Arabia,8,True,TeamGame-WOLOLO
260864911,"Sept. 21, 2023, 8:39 p.m.",2023,9,21,MKD,12397390,1,3,Pocket,Mongols,0,Arabia,8,True,TeamGame-WOLOLO
260858116,"Sept. 21, 2023, 8 p.m.",2023,9,21,MKD,12397390,1,3,Pocket,Bulgarians,0,Arabia,8,True,TeamGame-WOLOLO
260851400,"Sept. 21, 2023, 7:30 p.m.",2023,9,21,MKD,12397390,1,3,Pocket,Persians,0,Arabia,8,True,TeamGame-WOLOLO
252266588,"Aug. 9, 2023, 8:31 p.m.",2023,8,9,MKD,12397390,1,8,Flank,Japanese,0,Arabia,8,True,TeamGame-WOLOLO
252260786,"Aug. 9, 2023, 8:02 p.m.",2023,8,9,MKD,12397390,1,8,Flank,Vikings,1,Arabia,8,True,TeamGame-WOLOLO
252253305,"Aug. 9, 2023, 7:22 p.m.",2023,8,9,MKD,12397390,1,8,Flank,Ethiopians,0,Arabia,8,True,TeamGame-WOLOLO
344176001,"Oct. 8, 2024, 8:18 p.m.",2024,10,8,Hiptwisted,1491145,1,1,Flank,Vietnamese,0,Arabia,8,True,TeamGame-WOLOLO
344168972,"Oct. 8, 2024, 7:45 p.m.",2024,10,8,Hiptwisted,1491145,1,1,Flank,Vikings,0,Arabia,8,True,TeamGame-WOLOLO
344160872,"Oct. 8, 2024, 7:08 p.m.",2024,10,8,Hiptwisted,1491145,1,1,Flank,Huns,1,Arabia,8,True,TeamGame-WOLOLO
311704132,"May 8, 2024, 9:16 p.m.",2024,5,8,Hiptwisted,1491145,1,3,Pocket,Mongols,0,Arabia,8,True,TeamGame-WOLOLO
311696881,"May 8, 2024, 8:37 p.m.",2024,5,8,Hiptwisted,1491145,1,3,Pocket,Magyars,0,Arabia,8,True,TeamGame-WOLOLO
311689270,"May 8, 2024, 7:57 p.m.",2024,5,8,Hiptwisted,1491145,1,3,Pocket,Portuguese,0,Arabia,8,True,TeamGame-WOLOLO
295509412,"Feb. 29, 2024, 8:34 p.m.",2024,2,29,Hiptwisted,1491145,1,4,Flank,Byzantines,0,Arabia,8,True,TeamGame-WOLOLO
295500757,"Feb. 29, 2024, 7:46 p.m.",2024,2,29,Hiptwisted,1491145,1,4,Flank,Chinese,0,Arabia,8,True,TeamGame-WOLOLO
285962139,"Jan. 17, 2024, 7:39 p.m.",2024,1,17,Hiptwisted,1491145,1,5,Flank,Portuguese,1,Arabia,8,True,TeamGame-WOLOLO
285953987,"Jan. 17, 2024, 7:01 p.m.",2024,1,17,Hiptwisted,1491145,1,6,Pocket,Huns,1,Arabia,8,True,TeamGame-WOLOLO
285944823,"Jan. 17, 2024, 6:23 p.m.",2024,1,17,Hiptwisted,1491145,1,5,Flank,Ethiopians,0,Arabia,8,True,TeamGame-WOLOLO
277583106,"Dec. 10, 2023, 7:48 p.m.",2023,12,10,Hiptwisted,1491145,1,4,Unknown,Bulgarians,0,Arabia,8,True,TeamGame-WOLOLO
